custody_id,participant_age_group,participant_gender,participant_status,participant_type,latitude,longitude,gun_stolen,gun_type,incident_id,date_fk
250037,Adult 18+,Male,Killed,Victim,40.4192,-79.9893,Irrelevant,Irrelevant,138662,1027
250076,Adult 18+,Male,Killed,Victim,39.9612,-83.0323,Irrelevant,Irrelevant,138683,1028
250077,Child 0-11,Male,Unharmed,Victim,39.9612,-83.0323,Irrelevant,Irrelevant,138683,1028
250079,Adult 18+,Male,Killed,Victim,40.8424,-73.8861,Irrelevant,Irrelevant,138684,1028
250096,Adult 18+,Male,Injured,Victim,37.6981,-121.74,Irrelevant,Irrelevant,138694,1028
250100,Adult 18+,Male,Injured,Victim,27.2436,-80.904,Irrelevant,Irrelevant,138696,1028
250135,Adult 18+,Male,Injured,Victim,42.304,-83.1337,Irrelevant,Irrelevant,138720,1028
250134,Teen 12-17,Female,Injured,Victim,42.304,-83.1337,Irrelevant,Irrelevant,138720,1028
250173,Adult 18+,Male,Killed,Victim,38.026,-121.921,Irrelevant,Irrelevant,138741,1028
250205,Adult 18+,Male,Injured,Victim,39.3229,-76.5886,Irrelevant,Irrelevant,138761,1028
309550,Adult 18+,Male,Killed,Victim,39.2884,-76.6588,Irrelevant,Irrelevant,173872,1235
314043,Adult 18+,Male,Killed,Victim,39.2884,-76.6588,Irrelevant,Irrelevant,176656,1254
250264,Adult 18+,Male,Injured,Victim,31.7486,-89.6521,Irrelevant,Irrelevant,138796,1028
250266,Adult 18+,Male,Injured,Victim,41.4922,-81.6566,Irrelevant,Irrelevant,138797,1028
250278,Adult 18+,Male,Injured,Victim,29.9248,-90.3815,Irrelevant,Irrelevant,138802,1028
250287,Adult 18+,Female,Injured,Victim,40.683,-89.6109,Irrelevant,Irrelevant,138806,1028
378788,Adult 18+,Male,Injured,Victim,39.3573,-76.6106,Irrelevant,Irrelevant,216191,1481
378787,Teen 12-17,Male,Injured,Victim,39.3573,-76.6106,Irrelevant,Irrelevant,216191,1481
250306,Adult 18+,Male,Killed,Victim,29.3694,-98.469,Irrelevant,Irrelevant,138819,1028
250322,Adult 18+,Male,Killed,Victim,37.6378,-122.066,Irrelevant,Irrelevant,138828,1028
250443,Adult 18+,Female,Killed,Victim,30.7489,-89.8638,Irrelevant,Irrelevant,138908,1029
250450,Adult 18+,Male,Killed,Victim,39.3858,-84.5565,Irrelevant,Irrelevant,138911,1029
250451,Adult 18+,Male,Killed,Victim,39.3858,-84.5565,Irrelevant,Irrelevant,138911,1029
250476,Adult 18+,Male,Killed,Victim,32.7175,-96.7856,Irrelevant,Irrelevant,138926,1029
250483,Adult 18+,Male,Injured,Victim,39.9484,-82.9548,Irrelevant,Irrelevant,138930,1029
250487,Child 0-11,Female,Killed,Victim,38.9218,-76.8873,Irrelevant,Irrelevant,138932,1029
250498,Adult 18+,Male,Unharmed,Victim,29.9643,-90.0306,Irrelevant,Irrelevant,138939,1029
250527,Adult 18+,Male,Killed,Victim,40.8385,-73.8492,Irrelevant,Irrelevant,138956,1029
352862,Adult 18+,Female,Injured,Victim,40.8385,-73.8492,Irrelevant,Irrelevant,200426,1386
250545,Adult 18+,Male,Injured,Victim,26.5312,-80.0939,Irrelevant,Irrelevant,138969,1029
250554,Adult 18+,Male,Killed,Victim,28.0466,-82.0488,Irrelevant,Irrelevant,138975,1029
250579,Adult 18+,Male,Injured,Victim,36.2659,-76.9665,Irrelevant,Irrelevant,138983,1029
250580,Adult 18+,Male,Injured,Victim,36.2659,-76.9665,Irrelevant,Irrelevant,138983,1029
250578,Adult 18+,Female,Killed,Victim,36.2659,-76.9665,Irrelevant,Irrelevant,138983,1029
250590,Adult 18+,Male,Unharmed,Victim,42.1159,-86.4523,Irrelevant,Irrelevant,138989,1029
250597,Adult 18+,Male,Killed,Victim,32.3342,-90.8795,Irrelevant,Irrelevant,138993,1029
250606,Adult 18+,Male,Killed,Victim,38.9072,-77.0199,Irrelevant,Irrelevant,139001,1029
250607,Adult 18+,Male,Injured,Victim,38.9072,-77.0199,Irrelevant,Irrelevant,139001,1029
250615,Adult 18+,Female,Injured,Victim,37.3545,-85.3278,Irrelevant,Irrelevant,139005,1029
250621,Adult 18+,Male,Killed,Victim,38.7575,-90.2116,Irrelevant,Irrelevant,139010,1029
250637,Adult 18+,Male,Injured,Victim,39.3013,-76.6341,Irrelevant,Irrelevant,139020,1029
250644,Adult 18+,Male,Injured,Victim,41.4978,-73.3557,Irrelevant,Irrelevant,139025,1030
250647,Adult 18+,Male,Killed,Victim,37.6254,-83.6667,Irrelevant,Irrelevant,139027,1030
